,Yield,Rain,N_TC,P_TC,K_TC
44,0.7980041964599734,1405.6290529667456,356.25301631221646,89.89310248606958,41.849965129502195
45,0.7980041964599734,1405.6290529667456,356.25301631221646,78.6936844516499,52.30876540971908
46,0.7980041964599734,1405.6290529667456,356.25301631221646,69.55608793576644,85.5088084530554
47,0.7980041964599734,1405.6290529667456,356.25301631221646,62.100730002838624,76.43757583220037
48,0.7980041964599734,1405.6290529667456,356.25301631221646,56.01790922918623,61.91924052684388
49,0.7980041964599734,1405.6290529667456,356.25301631221646,51.0549404626623,83.73245418654724
50,0.7980041964599734,1405.6290529667456,356.25301631221646,47.005658082983956,98.67643282068174
51,0.7980041964599734,1405.6290529667456,356.25301631221646,43.701851719951414,85.99677324200604
52,0.7980041964599734,1405.6290529667456,356.25301631221646,41.00627866256406,87.560995106977
53,0.7980041964599734,1405.6290529667456,356.25301631221646,38.80696268902041,107.31433069850614
54,0.7980041964599734,1405.6290529667456,356.25301631221646,37.01254248652275,109.72446719804348
55,0.7980041964599734,1405.6290529667456,356.25301631221646,35.54847643059191,102.6418256751812
56,0.7980041964599734,1405.6290529667456,356.25301631221646,34.35394606744433,112.7291983189657
57,0.7980041964599734,1405.6290529667456,356.25301631221646,33.37932966765746,125.23851778992749
58,0.7980041964599734,1405.6290529667456,356.25301631221646,32.58414090055855,122.92514329671144
59,0.7980041964599734,1405.6290529667456,356.25301631221646,31.935347000252186,123.25076371547523
60,0.7980041964599734,1405.6290529667456,356.25301631221646,31.405996558582284,134.89739922274788
61,0.7980041964599734,1405.6290529667456,356.25301631221646,30.974099942470758,140.85083759236232
62,0.7980041964599734,1405.6290529667456,356.25301631221646,30.62171582728963,139.30478489130994
63,0.7980041964599734,1405.6290529667456,356.25301631221646,30.334205900145584,144.76226210728225
64,0.7980041964599734,1405.6290529667456,356.25301631221646,30.099626772866003,154.17958186378667
65,0.7980041964599734,1405.6290529667456,356.25301631221646,29.908233844274427,156.62386075741085
66,0.7980041964599734,1405.6290529667456,356.25301631221646,29.75207650180465,157.99879730319557
67,0.7980041964599734,1405.6290529667456,356.25301631221646,29.624667846810603,165.4202323973243
