,Year,Yield,Rain,N_TC,P_TC,K_TC,NPK_TC
71,1966.0,0.2958524510987684,965.0,3.4200676165177497,0.624849070272881,0.3682685341704902,4.413185220961121
72,1967.0,0.7524083769633508,1074.0,7.007853403141361,2.0287958115183247,1.036649214659686,10.073298429319372
73,1968.0,0.7987249544626595,1076.0,8.229609390811577,2.4413074276462257,0.8803885853066181,11.55130540376442
74,1969.0,0.637830334459548,1151.0,9.37115319137791,2.202666247610068,2.634818365155444,14.208637804143422
75,1970.0,0.8994299783231192,1068.0,15.0855032515321,0.789466641689191,0.5726978349880911,16.44766772820938
76,1971.0,0.7855191858672188,1060.0,15.419181461738402,2.297458037799022,1.0396933785629323,18.75633287810036
77,1972.0,0.6193970117395945,962.0,14.921291355389542,4.389007470651015,3.551894343649947,22.862193169690503
78,1973.0,0.8097429256330422,1493.0,13.096189347808115,4.119251646322982,1.427272476786157,18.642713470917258
79,1974.0,0.7618610907312301,1616.0,22.18451944240645,3.588897040841281,2.946930789924187,28.720347273171924
80,1975.0,0.5253271195554758,1148.0,23.60279620003585,3.566947481627532,1.9501702814124395,29.11991396307582
81,1976.0,0.8166723724751798,1247.0,16.899789700200518,2.662982344598229,1.2397906783391206,20.802562723137868
82,1977.0,0.7477913165644503,1250.0,21.34115040661389,5.171156080296112,2.836841109880313,29.34914759679032
83,1978.0,0.8041237113402062,1119.0,21.201030927835053,5.301546391752577,2.554123711340206,29.05670103092784
84,1979.0,0.9248704663212436,1140.0,22.409326424870468,4.950777202072539,3.339378238341969,30.699481865284973
85,1980.0,0.8188585607940446,1184.0,20.977667493796528,6.158808933002481,2.823821339950372,29.96029776674938
86,1981.0,0.6794871794871795,1274.0,21.82051282051282,5.779487179487179,3.5589743589743588,31.15897435897436
87,1982.0,0.5056149000273898,665.0,32.36099698712682,9.134483703095045,6.087373322377431,47.58285401259929
88,1983.0,1.2221945688844644,1135.0,44.91731652010397,12.372103312869864,7.402798517781096,64.69221835075494
89,1984.0,0.9097205113465276,1220.0,45.70638635679286,16.095918534942925,8.485943445293039,70.28824833702882
90,1985.0,1.0456591036939809,1941.0,43.40193137071067,15.9877179823739,6.101162572660791,65.49081192574536
91,1986.0,0.9716564833672776,1139.0,67.88866259334691,27.38822616623024,12.571525555232276,107.84841431480945
92,1987.0,0.5702476916312472,1423.0,82.07533343104207,33.11153451560897,15.19859299428404,130.38546094093508
93,1988.0,1.0609021159104786,1164.0,98.42567764887036,38.06780470969283,18.84939071335652,155.3428730719197
94,1989.0,1.083144444167684,1251.8,-0.0024908461404339,-0.0024908461404339,-0.0024908461404339,-0.0024908461404339
95,1990.0,1.024015638089919,1196.0,-0.0023270967141394,-0.0023270967141394,-0.0023270967141394,-0.0023270967141394
96,1991.0,0.7426513040640611,855.0,-0.0025102291839244,-0.0025102291839244,-0.0025102291839244,-0.0025102291839244
97,1992.0,0.249347314359084,670.0,120.50930879520652,36.383479563449605,7.173122191311791,164.0659105499679
98,1993.0,0.9852404047661816,1112.0,77.85461948386325,16.41219088677325,3.634512903418957,97.90132327405546
99,1994.0,0.9015303668920256,845.0,83.82506859777659,21.377047325393907,4.692936550592628,109.89505247376312
100,1995.0,0.7811559393147061,1020.4,90.09455474141862,22.975890061110945,5.043932990787753,118.11437779331732
101,1996.0,1.4096965428185713,923.5,63.85318228952672,21.780047347929017,7.311537633777465,92.9447672712332
102,1997.0,1.1497100989413562,1356.2,107.72204113421986,27.374736781377106,11.49219719041163,146.58897510600858
103,1998.0,0.9256589147286822,1202.3,147.640826873385,41.13178294573643,14.705426356589149,203.4780361757106
104,1999.0,2.098901098901099,1114.4,253.84615384615384,85.16483516483517,23.626373626373628,362.6373626373626
105,2000.0,1.075268817204301,687.2,150.98387096774192,50.99731182795699,11.830645161290322,213.81182795698925
106,2001.0,0.9166666666666666,922.9,154.74107142857142,49.282738095238095,16.392857142857142,220.41666666666663
107,2002.0,0.7679558011049724,683.0,143.62707182320443,45.74309392265194,15.215469613259668,204.58563535911605
108,2003.0,0.9593351800554016,822.4,143.94182825484765,16.736842105263158,10.002770083102494,170.6814404432133
109,2004.0,0.3058222738670418,1072.1,167.16102990642776,30.83909241025014,17.02036572686686,215.0204880435448
110,2005.0,0.5708762506271582,575.7,179.4085529616622,35.30383968361716,28.66629283121329,243.37868547649265
111,2006.0,0.8174133280705217,948.4,200.98677718571147,49.58226432471548,24.363528715216106,274.9325702256431
112,2007.0,0.4013917588428346,1693.0,188.10623556581987,51.0362221952109,20.216968518293424,259.35942627932417
113,2008.0,1.2767632726340088,947.7,182.56219543472687,61.823544498589385,34.66273403436779,279.04847396768406
114,2009.0,1.223908145815803,844.4,189.93784099237263,59.84365245243071,44.26589940555359,294.0473928503569
